15563;26.8
15654;28.1
15707;29.8
15760;31.7
15846;33.3
15933;34.5
15959;35.3
16057;35.2
16156;34.2
16213;32.6
16270;30.2
16319;27.3
16378;24.1
16437;21.3
16502;19.1
16523;17.6
16541;17.1
16558;17.7
16613;18.5
16668;19.6
16682;20.8
16697;21.9
16740;22.9
16782;24.1
16804;25.1
16850;25.8
16872;25.7
16882;25.2
16949;24
16966;22.4
17039;20.9
17050;20
17061;18.8
17073;17.8
17116;17.2
17132;16.3
17155;15.3
17168;14.8
17183;13.8
17194;12.6
17245;11.5
17291;10.4
17318;9.3
17331;8.6
17343;8.3
17368;8.2
17385;8.4
17399;9.1
17420;10.4
17476;11.7
17530;13.3
17557;14.8
17610;15.9
17662;16.2
17718;15.9
17809;15.1
17901;13.9
17941;12.4
18013;11.2
18033;10.2
18053;9.3
18086;8.6
18129;8.1
18189;7.7
18249;7.5
18259;7
18278;6.2
18333;5.4
18389;4.5
18432;3.7
18530;3.3
18628;3.1
18682;3
18745;2.9
18817;3
18889;3.1
18903;3.4
18917;3.8
18931;4.5
18960;5.6
18987;7
19054;9.1
19097;11.6
19185;14.1
19235;16.1
19277;18.1
19299;19.5
19321;20.6
19355;21.6
19374;22.4
19399;23.1
19416;23.5
19465;23.7
19480;23.9
19505;24
19527;24
19557;24.1
19591;24.1
19605;24.2
19620;24.2
19638;24.2
19655;24.5
19687;24.7
19779;24.9
19793;25.2
19815;25.4
19827;25.4
19856;25.5
19877;25.7
19909;25.8
19944;25.9
19965;25.9
19983;26
20007;26
20023;26.1
20036;26.3
20119;26.6
20137;26.8
20166;27.1
20183;27.2
20199;27.3
20224;27.5
20235;27.8
20326;28.1
20351;28.4
20373;28.8
20418;28.9
20431;29.1
20460;29.3
20478;29.4
20519;29.6
20531;29.9
20608;30.1
20631;30.3
20661;30.5
20707;30.7
20733;30.9
20787;31.2
20811;31.4
20849;31.7
20913;32.1
20940;32.4
20990;32.8
21016;33.1
21041;33.3
21081;33.6
21093;33.9
21119;34.2
21181;34.6
21219;35.1
21244;35.6
21269;35.9
21295;36
21348;35.4
21401;34
21462;32.2
21538;29.9
21589;27.5
21627;25
21677;22.9
21736;21.1
21795;19.7
21814;18.5
21825;18
21844;17.8
21855;17.7
21876;17.6
21887;17.6
21898;17.7
21908;17.8
21923;18
21937;18.2
21953;18.4
21970;18.7
21999;18.8
22012;19.1
22025;19.2
22037;19.4
22052;19.7
22074;19.9
22157;20.3
22169;20.6
22195;21.1
22223;21.6
22292;22.1
22317;22.6
22327;23.2
22339;23.6
22388;23.9
22405;24.1
22430;24.3
22453;24.2
22488;24.2
22509;24
22525;23.8
22568;23.6
22589;23.3
22608;23.1
22630;22.9
22655;22.6
22700;22.4
22735;22.1
22768;21.8
22790;21.2
22803;20.5
22874;19.7
22926;18.8
22955;18
22986;17.2
23015;16.5
23055;15.8
23115;15.2
23149;14.6
23159;14.1
23206;13.8
23225;13.7
23300;13.8
23326;14
23340;14.5
23353;15.3
23372;16.1
23401;16.9
23420;18
23440;19.4
23459;20.3
23518;21.1
23531;21.4
23574;21.4
23603;20.8
23651;20.2
23711;19.7
23770;19
23806;18
23855;16.7
23892;15
23949;13
23978;11.1
24017;9.3
24047;8
24062;6.7
24076;5.9
24091;5.4
24108;4.7
24133;4
24159;3.5
24179;3
